author,content,crawl_time,page_num,post_id,post_time,post_url,reply_count,title,view_count
lhdbx,,2025-07-24T19:53:13.378097,1,29624,发表于 2025-6-22 16:54:40,https://bbs.hassbian.com/thread-29624-1-1.html,,求好用的zigbee平价设备接入Z2M,
author,content,crawl_time,page_num,post_id,post_time,post_url,reply_count,title,view_count
lhdbx,,2025-07-24T19:53:47.314305,1,29624,发表于 2025-6-22 16:54:40,https://bbs.hassbian.com/thread-29624-1-1.html,,求好用的zigbee平价设备接入Z2M,
wdmywm3,哎……zigbee现在就是这样，东西少，要么就是贵…… 我仅有的几个zigbee开关也都是aqara的 除此以外还是用小米蓝牙mesh的开关多，主要还是有些新的实在漂亮，忍不住……,2025-07-24T19:53:47.315732,,29624,,,,,
lhdbx,wdmywm3 发表于 2025-6-22 17:15 哎……zigbee现在就是这样，东西少，要么就是贵…… 我仅有的几个zigbee开关也都是aqara的 除此以外还是用 ... 对呀，我本来想着zigbee开关覆盖到位，然后就可以配传感器。都说zigbee省电，而且稳定。 可是我部署好了基础覆盖，突然发现 没啥推荐的传感器。烦死了 我限制是2个多模2，覆盖全家，gw3接入灯和窗帘。感觉还不如开关也米家算了，也能蓝牙全本地覆盖，为了zigbee买了绿米，搞得家里2套系统。 我都觉得傻了 浪费钱 现在骑虎难下,2025-07-24T19:53:47.316191,,29624,,,,,
qjrxsoft,"lhdbx 发表于 2025-6-22 17:22 对呀，我本来想着zigbee开关覆盖到位，然后就可以配传感器。都说zigbee省电，而且稳定。 可是我部署好了 ... 哥们及时止损吧，我也是zigbee过度到米家蓝牙mesh的，我之前比任何人都推崇zigbee，入坑zigbee之后才明白各种苦，后面果断换米家蓝牙mesh，我的开关全是绿米的D1,一咬牙我全丢小黄鱼，亏死我了，智能家居对于我来说是实用品而不是玩具，追求的是稳定、可靠、性价比、少折腾。",2025-07-24T19:53:47.316442,,29624,,,,,
lichao622,相信我，要用zigbee就用绿米的，涂鸦的，或者杂七杂八的不要用。。。。,2025-07-24T19:53:47.316648,,29624,,,,,
gx19970920,"你如果想入坑zigbee，就一定要买aqara的，长供电的中继器可以选择其他品牌的，比如水阀，墙面插座之类的，但是用电池的传感器一定要选aqara 登录/注册后可看大图 image.png (236.3 KB, 下载次数: 0) 下载附件 2025-6-23 08:38 上传",2025-07-24T19:53:47.316826,,29624,,,,,
lhdbx,gx19970920 发表于 2025-6-23 08:38 你如果想入坑zigbee，就一定要买aqara的，长供电的中继器可以选择其他品牌的，比如水阀，墙面插座之类的， ... 已经入坑了 我就想着有退路，所以开关都买了零火得绿米D1，这样就算不用z2M了，小米多模2也能用，再不济跟你一样咸鱼卖了，卖是真卖得快。 之前一直刷论坛，觉得Z2M好厉害，又有拓扑图，又全能接入，好好。然后执着Z2M 突然装完才发现，并没有什么好产品推荐接入 还得买米家得蓝牙mash传感器，我的zigbee网络覆盖不是废了嘛 电池的传感器一定要选aqara 确定好用嘛？省电又准确？ 推荐几个呗 现在已经下不了车了,2025-07-24T19:53:47.317011,,29624,,,,,
gx19970920,lhdbx 发表于 2025-6-23 08:47 已经入坑了 我就想着有退路，所以开关都买了零火得绿米D1，这样就算不用z2M了，小米多模2也能用，再不济 ... 其实aqara的传感器就那么几个类型：温湿度，水浸，光照，门窗，我就用了这些传感器，都是直接搜aqara买就行，,2025-07-24T19:53:47.317215,,29624,,,,,
lhdbx,lichao622 发表于 2025-6-22 22:10 相信我，要用zigbee就用绿米的，涂鸦的，或者杂七杂八的不要用。。。。 是的 我之前看欧瑞博质感好，也买来Z2M接入 发现第一个没问题 好像是HA1.2协议 然后后面买的都不好用，要么只能识别状态，不能远程控制，要么自己每隔半小时自己开关一下，有毒。 涂鸦我不知道买哪个型号呀，求推荐呀 好多接入之后，有按钮，但是都是没用功能的 返回都是错误 求推荐 或则带转换器的,2025-07-24T19:53:47.317412,,29624,,,,,
lhdbx,qjrxsoft 发表于 2025-6-22 21:21 哥们及时止损吧，我也是zigbee过度到米家蓝牙mesh的，我之前比任何人都推崇zigbee，入坑zigbee之后才明白 ... 哎 别说了 已经入坑了 还不想放弃 。 我折腾装完都花了一个月 好不容易全屋覆盖了zigbee网络 还有就是奇怪，传感器不能漫游，比如绿米无线开关，我拿到任何地方它都无法就今中继，99方的房子显示都质量特别弱 zigbee不是应该优势就是信号传递吗,2025-07-24T19:53:47.317601,,29624,,,,,
author,content,crawl_time,page_num,post_id,post_time,post_url,reply_count,title,view_count
lhdbx,,2025-07-24T20:03:06.759726,1,29624,发表于 2025-6-23 08:57:01,https://bbs.hassbian.com/thread-29624-2-1.html,,求好用的zigbee平价设备接入Z2M,
kmart,lhdbx 发表于 2025-6-23 08:57 我看你的图 还行确实都是绿米，不过我感觉绿米是不是传感器中继有问题 不太好， 你多少方？几个zigbee ... 玩了几年的zigbee经验，要稳定而且信号好，全部都使用aqara的产品，网关也使用aqara的网关！ 再回答一下中继的问题，只有接入了零火线的设备才能中继，单火以及电池的设备没有中继功能！,2025-07-24T20:03:06.761513,,29624,,,,,
lhdbx,kmart 发表于 2025-6-23 09:26 玩了几年的zigbee经验，要稳定而且信号好，全部都使用aqara的产品，网关也使用aqara的网关！ 再回答一下 ... 绿米零活D1 你看我拓扑图 用aqara网关了，那我心心念念的Z2M就没用了 那不是直接绿米了 都没其他了,2025-07-24T20:03:06.762452,,29624,,,,,
gx19970920,lhdbx 发表于 2025-6-23 09:36 绿米零活D1 你看我拓扑图 用aqara网关了，那我心心念念的Z2M就没用了 网关你可以买冬瓜的z2m网关，比较好,2025-07-24T20:03:06.763067,,29624,,,,,
lhdbx,gx19970920 发表于 2025-6-23 10:10 网关你可以买冬瓜的z2m网关，比较好 已经搭建好啦 就差比较性价比 非常兼容z2M的传感器了,2025-07-24T20:03:06.763430,,29624,,,,,
lichao622,lhdbx 发表于 2025-6-23 08:50 是的 我之前看欧瑞博质感好，也买来Z2M接入 发现第一个没问题 好像是HA1.2协议 然后后面买的都不好用 ... 我的意思是只能是用绿米的，涂鸦的别用。真的，我就踩坑了涂鸦的。。。。哈哈,2025-07-24T20:03:06.763804,,29624,,,,,
lichao622,lichao622 发表于 2025-6-23 10:50 我的意思是只能是用绿米的，涂鸦的别用。真的，我就踩坑了涂鸦的。。。。哈哈 ... 我是逐步把所有zigbee设备换成绿米的后就稳定了,2025-07-24T20:03:06.764179,,29624,,,,,
gasment,是不是有点过于执着信号覆盖了。。。,2025-07-24T20:03:06.764472,,29624,,,,,
lhdbx,lichao622 发表于 2025-6-23 10:50 我的意思是只能是用绿米的，涂鸦的别用。真的，我就踩坑了涂鸦的。。。。哈哈 ... 你这意思 就是不要Z2M了，都全是绿米了 还不知直接aqara,2025-07-24T20:03:06.764738,,29624,,,,,
lhdbx,gasment 发表于 2025-6-23 11:03 是不是有点过于执着信号覆盖了。。。 那也是论坛忽悠的 说什么信号稳定 什么本地直连 什么耗电少 一套一套的 吹Z2M 真坑 都没有一套完整的方案,2025-07-24T20:03:06.765000,,29624,,,,,
liyong763435720,,2025-07-24T20:03:10.794112,1,25894,发表于,https://bbs.hassbian.com/thread-25894-38-1.html,,消逝-手机端（更新2025-07-05）,
peng_jia,谢谢分享，正在学习,2025-07-24T20:03:10.795315,,25894,,,,,
a5824420,收藏一下，正好需要,2025-07-24T20:03:10.796703,,25894,,,,,
zjksjf,感觉是个大工程,2025-07-24T20:03:12.523117,,25894,,,,,
明明洋洋,大佬牛逼,2025-07-24T20:03:12.523639,,25894,,,,,
w954095886,谢谢分享参考下,2025-07-24T20:03:12.524011,,25894,,,,,
xiangboshi,完成度这么高，真大佬了,2025-07-24T20:03:12.524369,,25894,,,,,
liyw168,谢谢分享,2025-07-24T20:03:12.524719,,25894,,,,,
LinkStart_Pai,太好了，学习一下,2025-07-24T20:03:12.525063,,25894,,,,,
wlhl1001,大神求教，這個怎麽設置，怎麽弄,2025-07-24T20:03:12.525426,,25894,,,,,
aiqinxuancai,,2025-07-24T20:03:24.767392,1,29901,发表于,https://bbs.hassbian.com/thread-29901-1-1.html,,设定晚上自动调空调但有时触发有时又不触发,
george65,你那個持續了22:00是要持續22小時才會觸發嗎??,2025-07-24T20:03:24.768587,,29901,,,,,
author,content,crawl_time,floor_num,post_id,reply_id,reply_time
tianzhuang55,厉害厉害，马上试试,2025-07-24T20:12:40.373086,3,29346,post_676299,发表于 2025-5-23 10:09:47
taida,谢谢，我看看呢,2025-07-24T20:12:40.374648,5,29346,post_676302,发表于 2025-5-23 10:14:15
miniknife,感谢楼主提供,2025-07-24T20:12:40.374974,7,29346,post_676308,发表于 2025-5-23 10:38:57
nichen24,厉害厉害，马上试试,2025-07-24T20:12:40.375218,9,29346,post_676314,发表于 2025-5-23 10:47:12
silas3082,厉害了大佬,2025-07-24T20:12:40.375438,11,29346,post_676316,发表于 2025-5-23 10:52:37
2511418386,13213213123213123213,2025-07-24T20:12:40.375646,13,29346,post_676318,发表于 2025-5-23 10:55:47
LJCAD,厉害了大佬,2025-07-24T20:12:40.375852,15,29346,post_676322,发表于 2025-5-23 11:15:38
coolguy,厉害厉害，马上试试,2025-07-24T20:12:40.376048,17,29346,post_676329,发表于 2025-5-23 11:41:55
shay,这应该是终极形态了，我那帖子得改改标题了,2025-07-24T20:12:40.376334,19,29346,post_676337,发表于 2025-5-23 12:35:58
hungheo,"本帖最后由 hungheo 于 2024-7-27 15:32 编辑 一、布局： 1、button card的默认布局，如下图： 登录/注册后可看大图 屏幕截图 2024-07-27 110105.png (78.25 KB, 下载次数: 0) 下载附件 2024-7-27 12:53 上传 card：最外层卡片 container：grid布局 img_cell：图标或图片，里面还有icon标签 name：名称 state：状态 label：标签 设置显示与不显示，对应的true或者false就行 2、styles设置 2.1、grid设置 在grid里面，“i”对应img_cell，“n”对应name，“s”对应state，“l”对应label 调整grid-template-area的值就能对各个div进行调整，代码： type: custom:button-card entity: sensor.a4c138d5271a_temperature show_name: true show_icon: true show_state: true show_label: true label: 这是lebel styles: grid: - grid-template-areas: | ""i n"" ""i s"" ""i l"" - grid-template-rows: 1fr min-content min-content - grid-template-columns: min-content 1fr; img_cell: - width: 40px - height: 40px 复制代码 grid-template-rows：调整行距离 grid-template-columns：调整列距离 常用的是：min-content（最小的合适空间），1fr（1倍剩余空间，也可以是0.5fr），或者固定大小（50px）,或者百分比（20%）grid里面还有其他的属性可以设置，比如居中、对齐、线间距等等，具体可以AI工具搜：CSS grid属性 个人习惯： 宽度一般不用px设置，这样在不同的手机屏幕就可以自动适应宽度 调整后效果： 登录/注册后可看大图 屏幕截图 2024-07-27 111820.png (36.81 KB, 下载次数: 0) 下载附件 2024-7-27 12:25 上传 2.2、其他标签设置 card、name、state、img_cell、icon、label、custom_fields 都可以设置对应的css样式 具体有哪些，可以浏览器F12，选中标签，然后计算样式里面都有 登录/注册后可看大图 屏幕截图 2024-07-27 123141.png (37.1 KB, 下载次数: 0) 下载附件 2024-7-27 12:32 上传 修改下之前的代码： type: custom:button-card entity: sensor.a4c138d5271a_temperature show_name: true show_icon: true show_state: true show_label: true label: ，这个温度太热啦 styles: grid: - grid-template-areas: | ""i n n"" ""i s l"" - grid-template-rows: 1fr min-content - grid-template-columns: min-content min-content 1fr; card: - padding: 8px img_cell: - width: 40px - height: 40px - background: rgba(139,195,74,0.2) - border-radius: 50% - margin-right: 8px icon: - width: 24px - height: 24px - color: var(--green-color) name: - justify-self: flex-start - font-size: 14px - font-weight: 600 state: - justify-self: flex-start - font-size: 12px label: - justify-self: flex-start - font-size: 12px 复制代码 类似mushroom card的template card的样式卡片效果就出来了 登录/注册后可看大图 屏幕截图 2024-07-27 123538.png (7.12 KB, 下载次数: 0) 下载附件 2024-7-27 12:36 上传 2.3、自定义布局 主要参考这位UI大神的技巧分享： https://bbs.hassbian.com/thread-25964-1-1.html 设置布局时， grid-template-areas里面的相同区域必须是矩形 ，其他的根据个人需求 比如，模仿户型图： type: custom:button-card styles: grid: - grid-template-areas: | ""a1 z1 z1 a2 a3 d1 d1 a4 a5 k k k"" ""z2 z2 z2 z2 a3 d d d a5 k k k"" ""a7 a7 a7 z3 a3 a6 a6 a6 a5 k k k"" ""p p a8 z3 a3 k1 k1 k1 k1 k k k"" ""p p a9 a9 a9 a9 a9 a9 a9 k k k"" ""b1 b1 b1 x x x b4 c b5 k k k"" ""b1 b1 b1 x x x b4 b6 b5 b7 b8 k2"" ""b1 b1 b1 c1 c1 c1 c1 f f f b8 k2"" ""b1 b1 b1 b2 f1 f1 f1 f f f b8 b9"" - grid-template-columns: 5px 20px 5px 15px 5px 20px 5px 20px 5px 25px 5px 20px - grid-template-rows: 10px 55px 5px 15px 5px 35px 5px 5px 25px card: - width: 150px - height: 160px - background-color: rgba(0,0,0,0) custom_fields: k: #区域代号 card: # ......这个区域的卡片 复制代码 效果： 登录/注册后可看大图 屏幕截图 2024-07-27 130825.png (75.97 KB, 下载次数: 0) 下载附件 2024-7-27 13:09 上传 2.4、custom_fields自定义区域 在styles下的时候，可以自定义某个区域的css属性 和styles同级的时候，可以自定义某个区域的内容，可以是html标签、可以是card等等 代码： type: custom:button-card show_icon: false show_state: false show_name: false styles: grid: - grid-template-areas: | ""weather sun person1 person2"" ""info info info info"" ""card1 card1 card1 card1"" ""card2 card2 card2 card2"" ""card3 card3 card3 card3"" ""card4 card4 card4 card4"" - grid-template-columns: min-content 1fr 38px 38px - grid-template-rows: 55px min-content 1fr card: - padding: 8px custom_fields: #自定义区域的属性 sun: #sun区域的属性 - justify-self: center #让sun这个区域的内容，水平居中 - align-self: flex-start #让sun这个区域的内容，垂直方向，在最顶上 card1: #card1区域属性 - display: ""[[[ return states['input_boolean.xinxi_xiangqing'].state == 'on' ? 'block' : 'none' ]]]"" #如果是开则显示card1、是关不显示card1 custom_fields: #自定义区域的内容 sun: #自定义区域名称 card: #区域的类型 type: custom:button-card entity: sun.sun show_icon: true show_name: false show_state: true # .....该卡片其他属性 card1: card: type: custom:button-card entity: sensor.youjia template: entity_card icon: mdi:gas-station name: 92#油价 label: | [[[ return `${states['sensor.youjia'].attributes[92]}元/L`]]] variables: icon_color: var(--green-color) # .......区域内容 复制代码 PS：display这个属性很好玩，可以实现收起、展开效果 效果： 登录/注册后可看大图 屏幕截图 2024-07-27 134955.png (40.92 KB, 下载次数: 0) 下载附件 2024-7-27 13:51 上传 登录/注册后可看大图 屏幕截图 2024-07-27 134925.png (13.24 KB, 下载次数: 0) 下载附件 2024-7-27 14:00 上传",2025-07-24T20:12:43.143866,3,26299,post_619303,发表于 2024-7-27 12:36:11
